,Player,Club,GamesPlayed,GamesStarted,ShotsFaced,SavesMade,GoalsAgainst,Wins,Losses,Ties,ShutOuts,WinsPercentage,SavePercentage,Year
241,Adam Throop,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
242,Joe Warren,TB ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
243,David Winner,Inter Miami CF,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
244,T.J. Hannig,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
245,Preston Burpo,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
246,Cole Burgman,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
247,Nick Rimando,D.C. United,28,28,183,131,40,9,14,5,7,32.1,71.6,1996
248,Tim Howard,Metropolitan Oval,27,27,195,140,44,11,14,2,4,40.7,71.8,1996
249,Zach Thornton,Chicago FIre FC,27,27,164,124,34,10,13,4,7,37.0,75.6,1996
250,Matt Jordan,FC Dallas,27,27,158,109,42,12,9,6,3,44.4,69.0,1996
251,Joe Cannon,San Jose Earthquakes,26,26,136,100,29,13,10,3,8,50.0,73.5,1996
252,Kevin Hartman,LA Galaxy,18,18,108,83,20,11,6,1,5,61.1,76.9,1996
253,Tony Meola,KC ,17,17,88,65,21,6,5,5,3,35.3,73.9,1996
254,Adin Brown,New England Revolution,16,16,102,72,20,9,6,1,5,56.3,70.6,1996
255,Tom Presthus,Columbus Crew,15,15,103,73,28,3,9,3,2,20.0,70.9,1996
256,Scott Garlick,Colorado Rapids,15,15,92,61,24,6,7,2,4,40.0,66.3,1996
257,Jon Busch,Columbus Crew,14,13,80,63,15,8,3,2,5,57.1,78.8,1996
258,Bo Oshoniyi,KC ,13,11,80,55,24,3,5,4,1,23.1,68.8,1996
259,David Kramer,Colorado Rapids,13,13,75,49,24,7,4,2,2,53.8,65.3,1996
260,Juergen Sommer,New England Revolution,12,12,87,53,29,3,8,1,2,25.0,60.9,1996
261,Matt Reis,LA Galaxy,11,10,47,33,13,5,3,2,2,45.5,70.2,1996
262,Jon Conway,San Jose Earthquakes,3,2,17,11,6,1,1,0,0,33.3,64.7,1996
263,Paul Grafer,Metropolitan Oval,2,1,7,3,3,0,1,0,0,0.0,42.9,1996
264,Henry Ring,Chicago FIre FC,1,1,7,3,4,1,0,0,0,100.0,42.9,1996
265,D.J. Countess,FC Dallas,1,1,7,6,1,0,0,1,0,0.0,85.7,1996
266,Taly Goode,KC ,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
267,Jeff Cassar,Metropolitan Oval,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
268,Greg Sutton,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
269,Rich Cullen,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
270,Bryheem Hancock,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
271,Jon Lowery,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
272,Josh Lynk,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
273,Mike McGinty,D.C. United,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
274,Matt Napoleon,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
275,Dan Sirota,LA Galaxy,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
276,Dmitri Strunkin,New England Revolution,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
277,Michael Ueltschey,Colorado Rapids,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
278,Scott Vallow,FC Dallas,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
279,Chris Wanamaker,Columbus Crew,0,0,0,0,0,0,0,0,0,0.0,0.0,1996
280,Zach Thornton,Chicago FIre FC,30,30,165,123,37,15,6,8,8,50.0,74.5,1996
281,Kevin Hartman,LA Galaxy,30,30,190,149,35,9,12,9,3,30.0,78.4,1996
282,Tony Meola,KC ,30,30,172,121,44,11,10,9,4,36.7,70.3,1996
283,Pat Onstad,San Jose Earthquakes,27,27,138,103,29,14,5,8,9,51.9,74.6,1996
284,Scott Garlick,Colorado Rapids,26,26,123,83,38,11,10,5,9,42.3,67.5,1996
285,Nick Rimando,D.C. United,25,25,131,100,29,10,9,6,7,40.0,76.3,1996
286,Adin Brown,New England Revolution,25,25,136,95,37,11,6,8,4,44.0,69.9,1996
287,D.J. Countess,FC Dallas,24,24,173,115,48,5,15,4,2,20.8,66.5,1996
288,Jon Busch,Columbus Crew,24,24,144,104,35,9,8,6,4,37.5,72.2,1996
289,Jonny Walker,Metropolitan Oval,14,14,70,55,14,4,5,5,4,28.6,78.6,1996
