Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Landon Donovan,,M-F,4,4,390,4,1,12,9,2,0/0,2,2,0.92,33.3,0,0,1,0.23,7,8,3,0,0,75,2005,post
Ivan Guerrero,,M,3,3,270,2,1,2,2,0,0/0,0,2,0.67,100,0,0,1,0.33,1,5,1,0,0,100,2005,post
Carlos Ruiz,,F,2,1,144,2,0,11,3,0,0/1,2,0,1.25,18.2,0,0,0,0,5,4,6,0,0,27.27,2005,post
Youri Djorkaeff,,F-M,2,2,180,1,1,5,2,0,0/0,0,1,0.5,20,1,1,0,0.5,8,3,2,1,0,40,2005,post
Jose Cancela,,M,3,0,105,1,1,5,3,0,0/0,1,0,0.86,20,1,1,0,0.86,1,8,0,0,0,60,2005,post
Clint Dempsey,,M-F,4,4,390,1,1,6,2,1,0/0,1,0,0.23,16.7,0,1,0,0.23,9,9,0,0,0,33.33,2005,post
Khano Smith,,M,2,0,79,1,0,1,1,0,0/0,1,0,1.14,100,0,0,0,0,2,0,0,0,0,100,2005,post
Jesse Marsch,,M,3,3,262,1,0,2,2,0,0/0,0,1,0.34,50,0,0,0,0,8,7,1,1,0,100,2005,post
Ritchie Kotschau,,D,2,0,77,1,0,2,1,0,0/0,0,1,1.17,50,0,0,0,0,1,2,0,0,0,50,2005,post
Jeff Cunningham,,F,3,2,230,1,0,3,1,0,0/0,0,1,0.39,33.3,0,0,0,0,3,10,3,0,0,33.33,2005,post
Guillermo Ramirez,,M,1,0,54,1,0,4,2,1,0/0,0,1,1.67,25,0,0,0,0,3,1,0,0,0,50,2005,post
Amado Guevara,,M,2,2,180,1,0,5,3,1,0/0,1,0,0.5,20,0,0,0,0,2,4,0,0,0,60,2005,post
Brian Ching,,F,2,2,180,1,0,5,2,0,0/0,1,0,0.5,20,0,0,0,0,3,8,0,0,0,40,2005,post
